0-0001|Editorial crítica presenta, el violento siglo americano. Guerras e intervenciones, desde el fin de la segunda guerra mundial. De Yon, uve doble dáuer. Narrador por: Javier Ruiz Taboada.
1-0001|editorial planeta presenta, salud a ciencia cierta. Consejos para una vida sana, sin caer en las trampas de la industria. Del doctor, miguel ángel Martínez González. Con la colaboración, de cristina galindo.
1-0002|Narrado por Javier Ruiz Taboada.
10-0001|A las primeras lecturas de Elsa, bajo la atenta mirada de Lisa.
11-0001|Entrevista con Víctor E Frankl.
11-0002|Kreuzer: Profesor Frankl, si nombramos su apellido entre personas medianamente informadas de cualquier rincón de los cinco continentes, obtendremos seguramente por respuesta la palabra sentido como fruto de la asociación de ideas.
11-0003|Es una correspondencia más directa que la que se establece entre el apellido Kneipp y la palabra hidroterapia.
11-0004|¿Cómo ha logrado extender por todo el planeta con la precisión de un rayo láser la definición de su teoría y cómo llegó usted mismo a la cuestión del sentido? ¿Cómo descubrió usted su propia teoría?
11-0005|Frankl: Creo que se podría decir que primero descubrí mi teoría para mí mismo.
11-0006|Se suele decir que cuando alguien funda un sistema psicoterapéutico, lo que hace, en resumidas cuentas, es relatar su propio historial patológico, dejar constancia escrita de él en ese sistema.
11-0007|sabemos que Sigmund Freud padeció pequeñas fobias y que Alfred Adler no fue precisamente un niño sano y robusto.
11-0008|De este modo Freud llegó a su teoría del complejo de Edipo y Adler a la del complejo de inferioridad.
11-0009|Debo decir que no soy ninguna excepción a esta regla. Soy consciente de que, cuando empecé a madurar, tuve que luchar mucho contra el sentimiento de que, al fin y al cabo, todo era un completo sinsentido.
11-0010|Aquella lucha acabó convirtiéndose en una determinación, y entonces desarrollé un antídoto contra el nihilismo.
11-0011|Kreuzer: ¿Cuándo sucedió esto? Frankl: En la pubertad.
11-0012|Kreuzer: Es decir, que desde entonces ha llevado latente su teoría consigo. Frankl: Digamos que estaba preformada. Fue cristalizando paulatinamente, aunque sólo de forma abstracta.
11-0013|Con el tiempo, con el paso de los años, tuve que sistematizarla para que se convirtiera en un método terapéutico susceptible de ser enseñado y aprendido.
11-0014|Pero, interiormente, primero tenía que superar de una vez por todas mi nihilismo. Esto le ocurre a cualquiera que padece algo, pero algo que no sea una enfermedad.
11-0015|nihilismo, el sentimiento de falta de sentido, lo produce básicamente la propia persona. No es ninguna enfermedad ni ninguna neurosis, pero siempre es algo que hay que intentar superar.
11-0016|Y yo no quería guardarme para mí ninguna idea que me ayudara a hacerlo. Por supuesto, uno se ve impulsado a compartir una cosa así con los demás, a ayudarlos.
11-0017|Así, con el paso de las décadas, este sistema fue desarrollándose lentamente, hasta llegar al punto en que, actualmente, debemos preguntarnos:
11-0018|¿de qué adolece más la humanidad, el hombre medio actual? ¿Continúa padeciendo como antes las consecuencias de una situación edípica? ¿Continúa padeciendo como antes los efectos de un sentimiento de inferioridad?
11-0019|Y nos damos cuenta de que no es así. Hoy, cada vez con más fuerza, se impone de forma generalizada un sentimiento de falta de sentido en el hombre medio.
11-0020|Entonces surge la pregunta: ¿Qué puede ayudarlo? En determinadas circunstancias, una terapia orientada o centrada en el sentido como la logoterapia, logos significa sentido en este contexto,
11-0021|puede desempeñar aquí un papel primordial. Como acostumbran a decir los norteamericanos, it speaks to the needs of the hour, es decir, le habla a las necesidades del momento.
11-0022|Una dirección que Sigmund Freud se sabía de memoria. Kreuzer:
11-0023|Profesor Frankl, volviendo de nuevo al joven Frankl, cuénteme cómo se desarrolló todo esto en usted desde el punto de vista científico. En aquel entonces era estudiante, un médico joven. ¿Cuál fue su relación con Freud y Adler?
11-0024|Era unas veces freudiano y otras adleriano, o bien se saltó interiormente todos esos estadios? ¿Fue usted siempre el mismo Frankl?
11-0025|¿Recuerda el principio biogenético de Ernst Haeckel, ha perdido toda validez, pero da igual, según el cual la evolución de un individuo es una repetición abreviada de la evolución de toda la especie?
11-0026|Eso mismo me ha sucedido a mí.
11-0027|Su ontogénesis como filogénesis de la ciencia. Frankl: Exacto. Al principio me sentía atraído y fascinado por el psicoanálisis freudiano.
11-0028|Cuando estaba en el instituto mantuve durante años una correspondencia constante con Sigmund Freud. No había carta que él no me respondiera inmediatamente, en menos de cuarenta y ocho horas. Una vez me atreví a adjuntar un breve manuscrito,
11-0029|y cuál fue mi sorpresa cuando me respondió diciendo que lo había recibido y que daba por sentado que no pondría pegas por haberlo enviado ya a la redacción de la Internationalen Zeitschrift für Psycoanalyse.
11-0030|El artículo se publicó dos años después, en mil novecientos veinticuatro, pero entonces ya me había pasado a la psicología individual de Alfred Adler.
11-0031|Kreuzer: ¿No estudió con Freud? Frankl: No. Freud me invitó a presentarme al entonces secretario de la Sociedad Psicoanalítica para hacerme miembro de la misma.
11-0032|Este creyó que era preferible que primero acabara la carrera de medicina porque, de lo contrario, tendría más dificultades, y que sólo tras finalizar los estudios podría presentarme al análisis didáctico y, después, a la admisión en la Sociedad.
11-0033|Como ya he dicho, luego coincidí con Freud una vez, por casualidad, en el año mil novecientos veintiséis;
11-0034|entonces yo ya había fundado una asociación académica de psicología médica con Maximilian Silbermann y Fritz Wittels, que fue el primer biógrafo de Sigmund Freud.
11-0035|Así, a Freud lo conocí primero por la correspondencia mantenida y después en persona.
11-0036|Me presenté y le dije: Víctor Frankl. Él me contestó: Czerningasse, seis, puerta veinticinco, distrito dos o, ¿verdad?
11-0037|respondí. Hasta el número de la puerta era correcto. Todavía lo recordaba de las cartas que me envió.
11-0038|Alfred Adler hace expulsar a un disidente. En fin, la cuestión es que me moví entre estas dos orientaciones. Y entonces, en mil novecientos veintisiete, Alfred Adler me expulsó por falta de ortodoxia.
11-0039|Se empeñó en ello. Yo pensaba que, a pesar de mis ideas, mis ideas críticas, podría hacerme un sitio en el círculo de psicólogos individuales, pero Adler se empeñó en que debía ser expulsado.
11-0040|No actué espontáneamente, sino que esperé adrede a que me echaran.
11-0041|Kreuzer: ¿Cuál fue el origen del conflicto? Frankl: Yo, junto con Rudolf Allers y Oswald Schwartz, quienes influyeron en mí de forma determinante,
11-0042|era muy crítico con el psicologismo, que estaba profundamente anclado y asentado, al menos en aquella época, no sólo en el psicoanálisis, sino también dentro, en la psicología individual.
11-0043|Psicologismo significa que algo que es neurótico se toma eo ipso por fingido, o que algo que es fingido se califica simplemente como neurótico, como enfermo.
11-0044|Esta relación conceptual se me acaba de ocurrir provocada por la función catalítica que usted ejerce y llega hasta el mismo corazón de la problemática actual, en la cual debemos preguntarnos, ahora que se habla tanto de neurosis de masas,
11-0045|si la desesperación por la aparente falta de sentido de la existencia es realmente una neurosis colectiva.
11-0046|Y al final se comprueba que no es nada patológico, que es un certificado de madurez intelectual de la persona, y no la manifestación de una enfermedad mental. Esto es muy importante y hay que explicárselo a la gente.
11-0047|Kreuzer: ¿Tiene algo que ver su antigua postura crítica con el chiste de que el psicoanálisis es la única enfermedad que se cura a sí misma? Frankl:
11-0048|No directamente. Además, estoy convencido de que, actualmente, Freud vería las cosas de un modo muy distinto. Todos sabemos que los discípulos son mucho más ortodoxos y dogmáticos que los propios maestros, y eso también me ha enseñado algo.
11-0049|Con motivo de la fundación del Instituto de Logoterapia y de la inauguración de la Frankl Memorabilia and Library, que es una especie de centro de documentación, en Berkeley, California, dije lo siguiente:
11-0050|Señoras y señores, la logoterapia todavía no existe, yo sólo he intentado poner los cimientos. Ahora les toca a ustedes construirla.
11-0051|Acaba de aparecer un libro, Logotherapy in Action, en el que han participado treinta autores, mayoritariamente norteamericanos, que se han especializado en aplicar la logoterapia a todo tipo de ámbitos.
11-0052|En el prólogo digo que cada uno de ellos aporta algo distinto, algo que, en cierto sentido, yo no estaría dispuesto a suscribir,
11-0053|pero tienen todo el derecho y absoluta libertad para hacerlo, porque en la logoterapia no hay ortodoxias. Salir de la oscuridad, sumergirse en la oscuridad.
11-0054|Kreuzer: Señor Frankl, usted mismo ha introducido la comparación con la ontogénesis y la filogénesis.
11-0055|Ha transportado a su persona el principio de Haeckel, según el cual la evolución de la especie se repite en la evolución del individuo.
11-0056|Ahora se da por sentado que la ontogénesis no es el protocolo de la totalidad de la evolución, sino sólo de sus éxitos, porque de los fracasos no ha quedado nada.
11-0057|Hasta qué punto sería usted el protocolo de los éxitos del psicoanálisis y de la psicología individual? ¿Qué ha quedado en usted del conjunto de éxitos de este último medio siglo o tres cuartos de siglo
11-0058|¿Qué cree usted que queda de Freud y Adler que también se confirme en su teoría? Frankl:
11-0059|No me cansaré de repetir que el psicoanálisis de Freud no sólo es el punto de partida histórico de todas las psicoterapias actuales y futuras, sino que seguirá siéndolo.
11-0060|Pero, al mismo tiempo, también hay que decir que, tal como sucede con los cimientos de una obra, cuando se levanta un edificio sobre ellos, se sustraen cada vez más de las miradas; es decir, se entierran.
11-0061|El psicoanálisis y la psicología individual han sobrevivido y, sea como sea, sobrevivirán. Pero debemos superarlas, hay que ir más allá.
11-0062|¿Podemos todavía perseverar en preguntarnos sobre esta operación esencial? ¿Se trataría de interiorizar la mirada en el inconsciente?
11-0063|Frankl: Exacto. Yo diría que lo esencial es adquirir conciencia de lo inconsciente. Sobre todo tenemos que ser también conscientes de que, al final, siempre se producirá una vuelta al inconsciente.
11-0064|Para curarse, la persona tiene que traer a la conciencia ciertas cosas para, al final, volverlas a sumergir en el inconsciente y que formen parte natural de todos sus actos.
11-0065|Cuando esto no sucede, se llega a lo que en la logoterapia llamamos hiperreflexión. Es decir, que la persona se observa y se espía continuamente:
11-0066|Cuál será ahora mi motivo real? Seguro que no es lo que pensaba, sino algo distinto y seguramente malo e indigno.
11-0067|Kreuzer: El psicoanálisis, todos lo sabemos, se adelantó a un gran número de saberes de este siglo: teoría de la evolución, etología comparada, fisiología cerebral.
11-0068|Hoy también sabemos, mucho más de lo que Freud imaginó, lo importante que es el inconsciente en nuestro cerebro y en nuestro destino en conjunto.
11-0069|Este es el verdadero mérito. Pero, como usted ha dicho, esto no se consumó en la fase inicial. La gente estaba demasiado fascinada por el descubrimiento del inconsciente, miraba demasiado al fondo de aquellas profundidades recién descubiertas.
11-0070|Neurosis como pérdida de religión? Frankl:. y además se limitó a unas clases de contenidos muy determinadas.
11-0071|La hazaña no sólo de Alfred Adler, sino también de C. G. Jung, consistió en ampliar el ámbito de lo que el hombre neurótico, especialmente, debía hacer consciente.
11-0072|Así, Freud pensó en las experiencias traumatizantes, principalmente infantiles, de una situación edípica.
11-0073|Después, por su parte, Adler amplió esta perspectiva introduciendo el complejo de inferioridad y, con él, también ciertos problemas de valores.
11-0074|C. G. Jung, el tercer gran clásico de la historia de la psicoterapia, fue aún más lejos al sacar a relucir en el inconsciente cosas que no sólo eran sexuales, sino que llegaban al terreno religioso y afectaban al hombre en su integridad:
11-0075|el arquetipo.
11-0076|Tampoco debemos olvidar que C. G. Jung fue la primera persona en este siglo que expuso una tesis tan atrevida y poco ortodoxa como esta: la neurosis es el sufrimiento del alma que no ha encontrado su sentido.
11-0077|Es cierto que, psicológicamente, Jung dio un nuevo giro, pero fue una proeza sin igual que se podría colocar con todo derecho en una lista junto a las de Sigmund Freud y las posteriores aportaciones de Alfred Adler. Kreuzer
11-0078|Cómo ve usted su escuela y su teoría en esa lista?
11-0079|En los libros de texto siempre aparecen juntos estos tres nombres: Freud, Adler y Jung. Por otro lado, su escuela ha sido bautizada, y creo que con todo derecho, como la tercera escuela psicoanalítica vienesa.
11-0080|Frankl: La tercera orientación vienesa de la psicoterapia. Kreuzer: ¿Podríamos hallar una clave, por ejemplo, en ese libro de Hans Küng,
11-0081|traducido actualmente a todos los idiomas por otro motivo, en el que se relaciona su nombre con los de Jung y Fromm como una orientación hacia la superación de las líneas originales de la psicoterapia
11-0082|Naturalmente, Küng lo relaciona con la religión y dice que la gran diferencia consistiría en que, para Freud, la religión era una neurosis colectiva,
11-0083|es decir, algo negativo que debía ser vencido, mientras que, y esto desemboca en usted, a partir de Jung la religión se valora de un modo distinto al aparecer su pérdida como causa de la neurosis.
11-0084|Aceptaría esta proximidad con Jung y Fromm? Frankl: Sí, mire usted, mi relación con las otras dos o tres orientaciones. Quizás debería permitirme una observación.
11-0085|En mi primer libro, que redacté ya en mil novecientos cuarenta y uno, pero que no se publicó hasta mil novecientos cuarenta y seis, en la primera página creo que en el primer párrafo digo algo que no es mío
11-0086|Es una cita literal de Wilhelm Stekel, el discípulo de Freud, que dice así: Un enano subido a hombros de un gigante siempre verá un poco más que el propio gigante.
11-0087|El término tercera orientación vienesa no lo acuñé yo, sino Soucek, quien lo publicó en los años cuarenta y los demás lo adoptaron a continuación.
11-0088|Sea como fuere, el caso es que otros han hablado después de la logoterapia como tercera orientación vienesa. Eso no significa que excluyera los otros saberes. Estos plantaron los cimientos y fueron desarrollados en la tradición y la línea correctas
11-0089|ejemplo, Adler introdujo ya la dimensión social en lo sexual y Jung incluyó, en un sentido muy ambiguo, la dimensión religiosa. Aunque el propio Jung cayó aquí también en el error del psicologismo
11-0090|Pero nos apartaríamos demasiado del tema si le presentara ahora las pruebas para demostrarlo.
11-0091|Por otro lado, Fromm al que usted ha mencionado, y al que Küng también menciona acentuó todavía más esta dimensión social o, mejor dicho, marxista; y después Wilhelm Reich a su manera particular.
11-0092|Pero en lo que concierne ahora a la problemática de la religión, debo recalcar aquí, delante de usted, que la logoterapia es una terapia y, por lo tanto, una psicoterapia, es decir, un método de tratamiento psiquiátrico
11-0093|aunque también está indicado para que lo emplee un profano de la psiquiatría en circunstancias determinadas. Y como tal, es un acercamiento secular.
11-0094|Si usted, señor Kreuzer, se dirige a mí como fundador de la logoterapia, entenderá que debo insistir y hacer hincapié en que esta es aplicable a cualquier paciente, tanto al religioso como al no religioso. Más aún.
11-0095|Debo insistir en que su manejo está en las manos de cualquier terapeuta, tanto del agnóstico como del religioso.
11-0096|Naturalmente, desde las tesis de la logoterapia, mejor dicho, de la logoteoría, también nos dedicamos al fenómeno de la religiosidad de la persona, pero considerado como un fenómeno esencialmente humano, terrenal.
11-0097|En ese caso, podrá preguntarme legítimamente: ¿qué lugar ocupa el fenómeno de la religiosidad en la vida humana, en la vida interior de la persona
11-0098|En cambio, no podrá preguntarme: ¿la logoterapia cree en Dios Nuestro Señor? Esta sería una pregunta ilegítima
11-0099|Psicoterapia sin diván. Kreuzer: Volvamos al tema, ahora desde la práctica. Probablemente, habrá algún oyente que desee saber cómo funciona realmente la logoterapia.
11-0100|Quizá tiene una imagen del psicoanálisis, en parte popularizada por las publicaciones de divulgación científica o las revistas de humor, consistente en un tratamiento en el que uno se acuesta en un diván y se somete a preguntas sobre el complejo de Edipo
11-0101|La gente sabe relativamente poco sobre el funcionamiento de la terapia de Adler. ¿Cómo funciona la suya? ¿Qué tratamiento recibe el paciente cuando se pone en manos de un logoterapeuta? Frankl
11-0102|Mire señor Kreuzer. Hace ya muchos años tuve sentado frente a mí en esta mesa a un médico norteamericano. Me dijo: Así que usted es psicoanalista, ¿no? Y yo le respondí:
11-0103|No exactamente psicoanalista, digamos psicoterapeuta. Entonces, ¿a qué orientación representa?, preguntó. Se llama logoterapia
11-0104|Cuál es la diferencia que hay entre logoterapia y psicoanálisis? ¿Lo puede resumir en una frase?, Y le dije: Lo haré encantado, pero primero dígame con una frase qué es para usted el psicoanálisis.
11-0105|Entonces dijo: Dios mío, en el psicoanálisis y esto en inglés parecía aún más gracioso, en el psicoanálisis hay que acostarse en un diván y decir cosas que resultan muy desagradables
11-0106|le dije: Pues mire, en la logoterapia te puedes quedar sentado y, en determinadas circunstancias, tienes que escuchar cosas que resultan desagradables.
